,full_text
161,"There was no sexual exchange, he went in, killed her, and was out in 1 minute.   
According to women on the escorting website, because she was Muslim and working during ramadan. A cold-blooded ""honour killing"", allegedly. https://t.co/Fh9yAomyrs"
162,"@WomensSpaceIre @DrUmarAlQadri Not a good idea for Muslim leaders to weigh in here when the women on the escorting site are claiming inside information that indicates that his motive was that he was dishonoured because she was Muslin and working during ramadan.
The stupid 'honour killing' motive yet again."
163,"<U+0C2A><U+0C4D><U+0C30><U+0C47><U+0C2E><U+0C3F><U+0C02><U+0C1A><U+0C21><U+0C2E><U+0C47> <U+0C2A><U+0C3E><U+0C2A><U+0C2E><U+0C48><U+0C02><U+0C26><U+0C3F>.. <U+0C2F><U+0C41><U+0C35><U+0C15><U+0C41><U+0C21><U+0C3F><U+0C28><U+0C3F> <U+0C35><U+0C46><U+0C02><U+0C1F><U+0C3E><U+0C21><U+0C3F> <U+0C28><U+0C30><U+0C3F><U+0C15><U+0C3F> <U+0C1A><U+0C02><U+0C2A><U+0C3F><U+0C28> <U+0C2F><U+0C41><U+0C35><U+0C24><U+0C3F> <U+0C2C><U+0C02><U+0C27><U+0C41><U+0C35><U+0C41><U+0C32><U+0C41>..
#Telangana #Youth #Nalgonda
https://t.co/93zsWEiNJf"
164,RT @PrayersObi: DO NOT BE DECEIVED BY RULERS WHO BUILD &amp; CONSTRUCT THINGS IN UR STATE JUST 2 CONVINCE U 4 THEIR SELFISH POLITICAL INTEREST.…
165,"@ananth_sethuram @Langfordouble @SuhagAShukla @Profdilipmandal We know what happens in India when Scheduled Caste men marry upper-caste women. Honour killing. It's Hindu culture, no? Straight from Manusmriti.

Anyway, love is stronger than Manusmriti. Ambedkar had a happy marriage with his younger Brahmin wife."
166,"RT @The_Wee_Doggie: ""On Easter weekend, we remember and honour our patriot dead who defended their ""own"" community by killing more of them…"
167,"@NarpatS56594441 Honour killing is best option, and I will exercise it, if such manhoos day comes in my life ever !!"
168,"@SonOfKingCasas @KiranNaz96 Indians don’t have privilege of polygamy and marrying within the family and female sex abuse by relatives , honour killing etc. so if you emigrate learn to assimilate not bring the home inflections."
169,"@SavelSells I had Perreira too, I thought he would mop the floor with Izzy. Maybe it’s a generational thing, but Izzy is a total yout douchebag clown dipshit with no honour code, in an apex fighting killing machine body. I’m saying that because he made Pereira’s son cry after his win lol"
170,Tiba al-Ali dead – YouTuber strangled to death by own father in ‘honour killing’ after returning home to Iraq | World News | Sun | 9 Apr | 20:19 | BST https://t.co/bXVPnwJGxh
171,"RT @The_Wee_Doggie: ""On Easter weekend, we remember and honour our patriot dead who defended their ""own"" community by killing more of them…"
172,"RT @RajeshThind: And no, another Black drug gang series, or another Asian honour killing feature is nowhere near good enough. In fact, it’s…"
173,"RT @The_Wee_Doggie: ""On Easter weekend, we remember and honour our patriot dead who defended their ""own"" community by killing more of them…"
174,"RT @The_Wee_Doggie: ""On Easter weekend, we remember and honour our patriot dead who defended their ""own"" community by killing more of them…"
175,"RT @The_Wee_Doggie: ""On Easter weekend, we remember and honour our patriot dead who defended their ""own"" community by killing more of them…"
176,"RT @The_Wee_Doggie: ""On Easter weekend, we remember and honour our patriot dead who defended their ""own"" community by killing more of them…"
177,"RT @The_Wee_Doggie: ""On Easter weekend, we remember and honour our patriot dead who defended their ""own"" community by killing more of them…"
178,"RT @The_Wee_Doggie: ""On Easter weekend, we remember and honour our patriot dead who defended their ""own"" community by killing more of them…"
179,"@EducatedOranje Ah come Ryan stop acting like a fool.
Band names, marching on parades that honour terrorists, playing of song that have lyrics that promotes killing of tags and fenians. 
You gonna claim none of this happens?"
180,"RT @The_Wee_Doggie: ""On Easter weekend, we remember and honour our patriot dead who defended their ""own"" community by killing more of them…"
181,@s_afreen7 Niyog aur Dasi  Sanskruti uss ke breast tax us ke sath aur 1 Bonus Honour killing
182,"@stew_mason @Flotea7 @5Pillarsuk If advocating Israeli goods boycotts is ""racist,""it's badge of honour.<U+0001F4AA><U+0001F3FF> FYI,opposing Israeli terrorism isn't ""racism."" Ethnically cleansing &amp; persecution of Palestinians is.
Then there's profiling&amp;killing based on someone's skin colour.
Hypocritical much.<U+0001F602>
Keep projecting. https://t.co/o6HaTlGJKL"
183,"@DeepikaBhardwaj On other side domestic violence and honour killing is increasing day by day .

Who knows what man will take the next action ?"
184,"@FawkesHandles Do you mean improve like,
Beheading,
Snagging goats,
Suicide bombings honour killings and killing gay people and EVERYONE else who's not an Unwashed PEADOPHILE begging bastard,
Is that what you mean Anna?"
185,"RT @HallarQadir: Raise your voice against tribal clashes and honour killing. #JusticeForAjmalSawand 
@BBhuttoZardari @AAliZardari 
@MuradAl…"
186,"RT @The_Wee_Doggie: ""On Easter weekend, we remember and honour our patriot dead who defended their ""own"" community by killing more of them…"
187,RT @vczdm: @Zura_hee_hee @spectatorindex No one can defend killings of  humans no matter what. History &amp; facts r always baised. Every confl…
188,RT @drsaifii: Raise your voice against tribal clashes and honour killing. #JusticeForAjmalSawand #AjmalSawand https://t.co/bvnIvqcuW5
189,"""On Easter weekend, we remember and honour our patriot dead who defended their ""own"" community by killing more of them than anyone else"" #FixedIt4You 

 Well done lads <U+0001F44F><U+0001F44F><U+0001F44F><U+0001F60F> https://t.co/zFXCgLFnhb"
190,RT @drsaifii: Raise your voice against tribal clashes and honour killing. #JusticeForAjmalSawand #AjmalSawand https://t.co/bvnIvqcuW5
191,@ShubhamShuklaMP Ayodhya me honour killing ka mamla pandit ke Ghar se aaya kisi manuvadi pandit chintak ne ise galat nahi thahraya
192,"@akin_adesina For killing millions of innocent citizens, he's indeed a great man of honour"
193,"RT @HallarQadir: Raise your voice against tribal clashes and honour killing. #JusticeForAjmalSawand 
@BBhuttoZardari @AAliZardari 
@MuradAl…"
194,@NRfan80 @BrexitBlogs @realhansard he was a racist because he stopped a prostitute being stoned to death in an honour killing. any negative judgment of honour crimes is hetero-normative euro-centrism and against diverse cultural nuances
195,"RT @HallarQadir: Raise your voice against tribal clashes and honour killing. #JusticeForAjmalSawand 
@BBhuttoZardari @AAliZardari 
@MuradAl…"
196,"Raise your voice against tribal clashes and honour killing. #JusticeForAjmalSawand 
@BBhuttoZardari @AAliZardari 
@MuradAliShahPPP https://t.co/QsvyIfbPXa"
197,RT @drsaifii: Raise your voice against tribal clashes and honour killing. #JusticeForAjmalSawand #AjmalSawand https://t.co/bvnIvqcuW5
198,Raise your voice against tribal clashes and honour killing. #JusticeForAjmalSawand #AjmalSawand https://t.co/bvnIvqcuW5
199,@GeneralTwattery @AndyPlumb4 No it’s isn’t it’s a cult. Do you pray five times a day? Do you marry a child ? Honour killing? All of that ok with you?
200,"@SpyHards @Film4 @JackRyanPV @Jr91Ryan @JackRyanMovie @TheFordCastPC @CAPD_freespeech I preferred Baldwins take on Ryan and for me Red October is the best take on Clancy’s source material. Clear &amp; Present really messes with the overall story arc from the books in my opinion. Debt Of Honour is going to be tricky after killing Dan, etc."
201,@keshavadevarao All his films have LC subaltern narrative + ICM is a must + Honour killing also
202,"What's next? Perempuan tak boleh pergi masjid? Tak boleh keluar langsung &amp; kne berkurung sampai bila2?
Then what? We're back to killing daughters in the name of protecting the family's honour?

Makin lme makin pelik perangai dorg ni. Pstu pndai sembunyi disebalik agama https://t.co/b8bh19GAFC"
203,"Lol … Men getting taste of their own medicine ! Women have endured it over thousands of year .. 
deception
Honour killing 
Rape 
Can’t vote no voice
unable 2 produce a son= killed 
Burnt alive …. so on 
P.s hey dud, World population of women DOESNT EQUAL to women of Americas https://t.co/grp2zFxjqE"
204,"@side0fg @Geekintheblue3 @lukesasing and the word ""wk"" so, kamu ketawa? pls kalo kamu ga relate gausah reply jg. kamu explain sana sini ga bakal mengubah pandanganku ttg gimana islam treat women. walaupun kamu blg islam memuliakan perempuan, realitas negara2 islam msh melakukan persekusi, honour killing thd perempua"
205,"In game Ballooni, is the spider in the tower a homage to the post punk band Killing Joke. Honour the fire. https://t.co/FCmQf593oY"
206,"@tlecaque Recognise the baseline argument applied?

“Your honour, my patron is a good man, just forget about him killing, any conviction would harm him”

Accountability is an underlying theme."
207,Tiba al-Ali dead – YouTuber strangled to death by own father in ‘honour killing’ after returning home to Iraq | World News | Sun | 9 Apr | 8:19 | BST https://t.co/NB9mikOfof
208,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
209,RT @DrMAliShaikh: The practice of killing women in name of honour was rampant in Sindh at time of British conquest in 1843. When government…
210,RT @DrMAliShaikh: The practice of killing women in name of honour was rampant in Sindh at time of British conquest in 1843. When government…
211,"In Britain Iranian family Banaz Mahmud's honour killing tragedy was total failure of British police. Banaz came to police station 5 times and reported of her life in danger n police did nothing. This poor girl was killed, British police personal who were involved should be jailed"
212,"my heart sank watching this. i am a mother myself. 

this mother enabled rapist &amp; victim blaming her daughter for “sinned” when she was been drugged &amp; raped? sickening man.

to each their own cultures? which verse in Quran says that? simply do honour killing &amp; purify herself? <U+0001F910> https://t.co/K1Pzicbaz5"
213,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
214,"@AmeliaBee7 @dodona777 And his Mother? Probably pregnant at age 12-14, possibly a victim of sexual assault. If some, still current,  religious/tribal practices are any guide, she could also have been in danger of being the victim of an ""honour killing"" for having shamed her family/clan etc."
215,"@littlevixen__ Kenapa sih sex bagi mereka ini sesuatu yang menakutkan...tapi mereka menormalisasi honour killing, rajam, pembunuhan kepada yang murtad, kekerasan kepada yang tidak berhijab sesuai pemahaman mereka..."
216,RT @Sbhanbhro: The plague of so-called honour killing (karo-kari) is a national disgrace. Karo-kari fuelled tribal feuds in Sindhi’s Northe…
217,RT @Sbhanbhro: The plague of so-called honour killing (karo-kari) is a national disgrace. Karo-kari fuelled tribal feuds in Sindhi’s Northe…
218,"@Zura_hee_hee @spectatorindex No one can defend killings of  humans no matter what. History &amp; facts r always baised. Every conflict is a brainchild of some cursed, greedy &amp; inhumane indls, there is no honour in killing ppl. Wars are only show of power nothing else."
219,"British fighters have described the 'honour' of battling in Ukraine despite the ...
https://t.co/gRM0UlJsV6"
220,"British fighters have described the 'honour' of battling in Ukraine despite the ...
https://t.co/lfGQG8e585"
221,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
222,"Muhammad murdered in Honour Killing!
Check out itvnews's video! #TikTok https://t.co/2TGxb10BQf"
223,@nudemodel1966 Honour killing needed
224,they have to maintain said discipline. Therefore we go from teaching about handling the Qur'an with care in other to honour Allah's words to straight up flogging children for handling it in any way and form we arbitrarily find dishonourable. Now we have people killing arbit..
225,Tiba al-Ali dead – YouTuber strangled to death by own father in ‘honour killing’ after returning home to Iraq | World News | Sat | 8 Apr | 20:19 | BST https://t.co/8fJkslpX90
226,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
227,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
228,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
229,"@Daniiiielw @Darsam12_ @FarisFromArabia @spargles I heard that they were vastly outnumbered by the Russians who fought for the red army. Plus, you honour the Ukrainian collaborators as heroes, so idk what you're complaining about

The British were killing 3 million Bengalis at the time and that's why you like them"
230,RT @DrMAliShaikh: The practice of killing women in name of honour was rampant in Sindh at time of British conquest in 1843. When government…
231,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
232,"@Bharatashree Idra bagge heLidaara bargetta barta
https://t.co/yVZbb6EhIQ"
233,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
234,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
235,@Wali_LFC pagal hai kisi nai meray account ki tweets parh li to mujh pay honour killing kr lay gaye
236,RT @DrMAliShaikh: The practice of killing women in name of honour was rampant in Sindh at time of British conquest in 1843. When government…
237,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
238,"@Ekthi_MeenuD @NishaRpd @elonmusk @RahulGandhi Don't talk about Swamy who is a worst parasite available in Indian politics who has no respect in present govt,party,his daughter married to Muslims but he is supporting honour killing of his masters! So by birth Rahul is Indian by virtue of father&amp; origin. Better consult adoctor"
239,"@GingerWildheart Anthem
Down on London
The Sweetest Song
Also, from your solo stuff
Yeah, Yeah, Yeah
Mother City
Wendy, You're Killing Me
Honour"
240,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
241,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
242,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
243,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
244,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
245,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
246,RT @DrMAliShaikh: The practice of killing women in name of honour was rampant in Sindh at time of British conquest in 1843. When government…
247,"@Karthik1423 @KRG_Studios @KRG_Connects Thanks for Honour Killing topic, it is much needed <U+0001F64F>"
248,"RT @umairiii_: It is more important to come out of the typical mindset and comfort zone of our elders about "" peghoor, honour killing &amp; gir…"
249,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
250,"Why honour killing isn't applicable to brother and father ??? What's next ? Girl is to be blamed for the rest of her life .
May almighty protect us from beasts . Amein https://t.co/v9pRQrqwVa"
251,@tirowhanonga @byroncclark Vile. Has he ever condemned a stoning? A beheading? An honour killing?
252,"It is more important to come out of the typical mindset and comfort zone of our elders about "" peghoor, honour killing &amp; girls education"". no matter if they call you""Punjabaya ,angreeza &amp; Ta sa pukhtun na ye"".
TBH this culture has destroyed Pukhtuna. <U+0001F494> https://t.co/9A0oRDT0EM"
253,"@tetegyus @siyeonlyfans +esp the last part, after confirming her death with ""chilling and killing"" lines, he admits he is with his lover at night,, aww cute? WRONG that girl is dead your honour (also i didnt read much on this particular subject but im sure he used this typeof  theme a lot on his works)"
254,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
255,"@BlackDahlia____ @RudyandPud @DrProudman not to mention he also engaged in pedophilia and married a child, cited that hell was full of women, blamed women for rape due to their clothing, encouraged ""Honour killing"" and rape."
256,RT @Sbhanbhro: The plague of so-called honour killing (karo-kari) is a national disgrace. Karo-kari fuelled tribal feuds in Sindhi’s Northe…
257,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
258,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
259,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
260,Tiba al-Ali dead – YouTuber strangled to death by own father in ‘honour killing’ after returning home to Iraq | World News | Sat | 8 Apr | 8:19 | BST https://t.co/aA0UB4IcHm
261,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
262,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
263,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
264,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
265,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
266,"RT @yanwritesaus: In honour of Eclipse day, Akk Ayan au, where Ayan is a new police chief who gets moved to the foothill town of Suppalo, t…"
267,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
268,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
269,"RT @yanwritesaus: In honour of Eclipse day, Akk Ayan au, where Ayan is a new police chief who gets moved to the foothill town of Suppalo, t…"
270,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
271,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
272,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
273,"RT @nolongerskek: It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that…"
274,"It’s funny how some men in my uni accused me of being a misandrist based on my tweets.

I wonder if they noticed yet that ‘misandry’ they accused me of, is just some tweets while misogyny can involve killing, r@pe and torture.

Femicide, acid attacks, honour killings, etc https://t.co/cOE1ytTEd0"
275,"@TheLabyris @LaVagabondine Correct, no vilification but you are wrong about the honour killing, that's a cultural practise not a religious one."
276,RT @DrMAliShaikh: The practice of killing women in name of honour was rampant in Sindh at time of British conquest in 1843. When government…
277,RT @DrMAliShaikh: The practice of killing women in name of honour was rampant in Sindh at time of British conquest in 1843. When government…
278,RT @TarkanSualp1968: @CheburekiMan At the beginning of this thing a British Author/Historian/ Journalist was interviewed by the bbc (cant f…
279,RT @DrMAliShaikh: The practice of killing women in name of honour was rampant in Sindh at time of British conquest in 1843. When government…
280,@haseeb34659118 We all know that the ppl killing for honour are the biggest beghairats.
281,RT @DrMAliShaikh: The practice of killing women in name of honour was rampant in Sindh at time of British conquest in 1843. When government…
282,From one Jodie during an interview to another… #NewProfilePic in honour of the upcoming Killing Eve anniversaries https://t.co/MRFS8NDOEy
283,"RT @yanwritesaus: In honour of Eclipse day, Akk Ayan au, where Ayan is a new police chief who gets moved to the foothill town of Suppalo, t…"
284,"@rahulp5040 @ambedkariteIND This is just mild, casteism. But everywhere around the country dalits students are being harassed for getting admission in good colleges. Ragging them to a point that they committed extreme actions. Temples beating up Dalits for being around Mandir premises. Honour killing cases"
285,RT @Sbhanbhro: The plague of so-called honour killing (karo-kari) is a national disgrace. Karo-kari fuelled tribal feuds in Sindhi’s Northe…
286,Is the practise of honour killing a better place Anna! https://t.co/ZzoRMjW9Rg
287,"RT @yanwritesaus: In honour of Eclipse day, Akk Ayan au, where Ayan is a new police chief who gets moved to the foothill town of Suppalo, t…"
288,"@jehnelwong @carlitopablo @VancouverEye @Planta @riarenouf @maryadevera @Emancipation_J @KhristineCarino @rowena_papasin @TheresaOMNI @phebses @mableelmore @drcarlahilario @nono57 Lapu Lapu would want us to oppose the dehumanizing treatment of vulnerable people. To truly honour his legacy fighting against colonizers displacing and killing his people, we as ""Filipinos"" need to be against what this colonial government is doing. What say you, kababayan?"
289,@Delhiite_ Some right wing will justify it as honour killing
290,"RT @Sbhanbhro: That’s right, there is no honour in killing but ground reality is different many people highly value the idea of honour &amp; th…"
291,Tiba al-Ali dead – YouTuber strangled to death by own father in ‘honour killing’ after returning home to Iraq | World News | Fri | 7 Apr | 20:19 | BST https://t.co/VSRTef9da5
292,"@R4FcMuK7k8IhUKz The Stalker Report had the RUC down as a Shoot to Kill Cuture. Some people just assume that due to the bigotry and racism of many UDR members, That they relished killing from time to time also. That constitutes honour for some deviants."
293,RT @DrMAliShaikh: The practice of killing women in name of honour was rampant in Sindh at time of British conquest in 1843. When government…
294,RT @DrMAliShaikh: The practice of killing women in name of honour was rampant in Sindh at time of British conquest in 1843. When government…
295,"RT @yanwritesaus: In honour of Eclipse day, Akk Ayan au, where Ayan is a new police chief who gets moved to the foothill town of Suppalo, t…"
296,"RT @yanwritesaus: In honour of Eclipse day, Akk Ayan au, where Ayan is a new police chief who gets moved to the foothill town of Suppalo, t…"
297,RT @DrMAliShaikh: The practice of killing women in name of honour was rampant in Sindh at time of British conquest in 1843. When government…
298,RT @DrMAliShaikh: The practice of killing women in name of honour was rampant in Sindh at time of British conquest in 1843. When government…
299,RT @naiyaandinaina: @Vishal_Bolivar @SaalanPaari <U+0B85><U+0B9F> <U+0BAE><U+0BC1><U+0B9F><U+0BCD><U+0B9F><U+0BBE> <U+0BA8><U+0BBE><U+0BAF><U+0BC7> <U+0B89><U+0B99><U+0BCD><U+0B95> <U+0B86><U+0BA8><U+0BCD><U+0BA4><U+0BBF><U+0BB0><U+0BBE><U+0BB5><U+0BBF><U+0BB2><U+0BCD> <U+0B8E><U+0BB2><U+0BCD><U+0BB2><U+0BBE><U+0BA4><U+0BCD><U+0BA4><U+0BC8><U+0BAF><U+0BC1><U+0BAE><U+0BCD> <U+0B95><U+0BB4><U+0B9F><U+0BCD><U+0B9F><U+0BBF> <U+0BAE><U+0BC1><U+0B9F><U+0BBF><U+0B9A><U+0BCD><U+0B9A><U+0BC1><U+0B9F><U+0BCD><U+0B9F><U+0BC1> <U+0B87><U+0B99><U+0BCD><U+0B95><U+0BC7> <U+0BB5><U+0BA8><U+0BCD><U+0BA4><U+0BC1> <U+0B95><U+0BC1><U+0BB0><U+0BC8><U+0B95><U+0BCD><U+0B95><U+0BB5><U+0BC1><U+0BAE><U+0BCD>.…
300,"@Vishal_Bolivar @SaalanPaari <U+0B85><U+0B9F> <U+0BAE><U+0BC1><U+0B9F><U+0BCD><U+0B9F><U+0BBE> <U+0BA8><U+0BBE><U+0BAF><U+0BC7> <U+0B89><U+0B99><U+0BCD><U+0B95> <U+0B86><U+0BA8><U+0BCD><U+0BA4><U+0BBF><U+0BB0><U+0BBE><U+0BB5><U+0BBF><U+0BB2><U+0BCD> <U+0B8E><U+0BB2><U+0BCD><U+0BB2><U+0BBE><U+0BA4><U+0BCD><U+0BA4><U+0BC8><U+0BAF><U+0BC1><U+0BAE><U+0BCD> <U+0B95><U+0BB4><U+0B9F><U+0BCD><U+0B9F><U+0BBF> <U+0BAE><U+0BC1><U+0B9F><U+0BBF><U+0B9A><U+0BCD><U+0B9A><U+0BC1><U+0B9F><U+0BCD><U+0B9F><U+0BC1> <U+0B87><U+0B99><U+0BCD><U+0B95><U+0BC7> <U+0BB5><U+0BA8><U+0BCD><U+0BA4><U+0BC1> <U+0B95><U+0BC1><U+0BB0><U+0BC8><U+0B95><U+0BCD><U+0B95><U+0BB5><U+0BC1><U+0BAE><U+0BCD>.

https://t.co/XWuBhaGnWX"
301,"RT @yanwritesaus: In honour of Eclipse day, Akk Ayan au, where Ayan is a new police chief who gets moved to the foothill town of Suppalo, t…"
302,RT @DrMAliShaikh: The practice of killing women in name of honour was rampant in Sindh at time of British conquest in 1843. When government…
303,India's Forbidden Love: An Honour Killing on Trial | Witness https://t.co/ojbDDLm085 via @YouTube
304,"RT @DeprivedVoices: Report Shows Crimes in the Name of Honour Target Dalit Community.
Despite the Supreme Court recognising honour killing…"
305,"@Ugochukwu_96 Let me do the honour of killing myself
Thank you"
306,"@kikilopemi Me too, killing his uncle for honour sake at that point in the game had become too untrue to Jin's character."
307,RT @DrMAliShaikh: The practice of killing women in name of honour was rampant in Sindh at time of British conquest in 1843. When government…
308,"""Death by Article 21""

1. If reputation is so important, honour killing should be praised."
309,"@hughcahill7 A man of honour Hugh. It’s hard isn’t it you just want that one tweet to be the one. Must be killing him not even being in the mix. For me it’s like Ireland losing their first 6 nations game, you just think ah hell what’s the point in the next 7 weeks"
310,RT @DrMAliShaikh: The practice of killing women in name of honour was rampant in Sindh at time of British conquest in 1843. When government…
311,"That’s right, there is no honour in killing but ground reality is different many people highly value the idea of honour &amp; they kill &amp; die for it. This narrative needs to change sooner the better for saving lives. <U+0001F447>

https://t.co/mtyhad9GsR https://t.co/Bw0OBCX8N7"
312,"RT @MR57129325: Bosnia war survivors outraged by the plans to turn torture site into army museum

""Their anger is compounded by the fact th…"
313,RT @DrMAliShaikh: The practice of killing women in name of honour was rampant in Sindh at time of British conquest in 1843. When government…
314,RT @DrMAliShaikh: The practice of killing women in name of honour was rampant in Sindh at time of British conquest in 1843. When government…
315,"The practice of killing women in name of honour was rampant in Sindh at time of British conquest in 1843. When government made severe laws, locals declared killings as suicides. This proclamation of 1847 vowed that offenders would be sent to “Karachi”, a dreadful punishment then. https://t.co/9b1ujWtRmi"
316,@Brit_Situations @GuzKhanOfficial Honour killing is also prevalent in punjabi Sikh and certain sects of Hindu. It is however more entrenched in the backwardness of a particular aspect of Indian culture and nothing at all to do with religion which is completely against murder of any kind
317,"In honour of Eclipse day, Akk Ayan au, where Ayan is a new police chief who gets moved to the foothill town of Suppalo, to co-head the case of a serial killing with the existing chief, Akk.   Akk leaves firework inside Aye, and a fear about a single drop of blood on his shirt. https://t.co/WLLAXPjsI7"
318,"@xHaustedOfStats Hate gays, opress women, holy wars, non believers go to hell, ethnicity, genocide, politics, blasphemy, honour killing, enslavement, arranged marriage, incitement of hatred etc

If you criticise these aspects often pertained in religion, you get told you're a phobe of some sort"
319,"RT @MR57129325: Bosnia war survivors outraged by the plans to turn torture site into army museum

""Their anger is compounded by the fact th…"
320,"@ChimamandaReal You support IPOB the 10th terrorist group in the world bcos it is your tribe. You are silent on abuse of women (widow), corruption, drug trafficking and kidnapping and killing in your tribe but speak evil of another tribe where women are honour."
321,"RT @ortoclasio: these stupid clerics won’t condemn their pedophile cronies in madrasas, rape cases, honour killing. 
i don’t get islam (tbh…"
322,"Bosnia war survivors outraged by the plans to turn torture site into army museum

""Their anger is compounded by the fact that the museum will not commemorate their suffering, but rather honour the army that held them against their will, including torturing and killing detainees."" https://t.co/nrD631eJer"
323,RT @Sbhanbhro: The plague of so-called honour killing (karo-kari) is a national disgrace. Karo-kari fuelled tribal feuds in Sindhi’s Northe…
324,"these stupid clerics won’t condemn their pedophile cronies in madrasas, rape cases, honour killing. 
i don’t get islam (tbh I don’t even intend to lol) and how it breeds the demons who make this shit aka wishing death upon disbelievers (??) honestly fuck this https://t.co/KwnTnFHJ4Q"
325,"@CheburekiMan At the beginning of this thing a British Author/Historian/ Journalist was interviewed by the bbc (cant for the life of me find it), but he said ‘this is an Honour Killing for Putin, he’s going to take his time, he’s going to expose the puppet regime in the US, its puppet regime"
326,"@jordanbpeterson You would think there are enough women’s issues for these women to fight against. Off the top of my head 
Female sex slavery
Iran killing female protesters
Misogyny and honour killings
Female circumcision

Clearly they are as deluded as the men they support"
327,"@MeenuTiwari @TweetAbhishekA apki baat sahi hai insan ko pyar se rahna chahiye
kamal to ye hai ki dusre dharm me shadi karne par koi etraz nhi krta lekin apni hi dharm ki dusri jati me, khas kar nichi kahe jane wali jati me,  karne par bawal ho jata hai. honour killing tak ho jata hai"
328,"@JMoncktonSmith @MsStarMcStar We've drafted an honour killing timeline RA Jane, I can send a copy when I am home from my holiday <U+0001F44D> Xx"
329,@sjq_76 The tribal dispute between Sawand and Sandrani tribes started three years ago over honour killing
330,"@BootRevolution @Chrissy1b My point on this it should be a choice he is making light of the murder's and deaths and killing's of honour subjected on people just because of how they wish to express themselves including denial of basic human rights and education 

Just an appinion 

Regards"
331,"Shooters suspected to be from the Sundrani clan gunned down a prominent teacher associated with the Institute of Business Administration, because of an ongoing enmity over “honour”, the police said on Thursday.
#news #pakistan #iba #teacher #killing https://t.co/XrRHJ9c2Sb"
332,@MsStarMcStar We have worked with experts and have created an Honour Killing Timeline. We also have developed a Domestic abuse related suicide timeline. We’re always very keen to have feedback.
333,RT @Sbhanbhro: The plague of so-called honour killing (karo-kari) is a national disgrace. Karo-kari fuelled tribal feuds in Sindhi’s Northe…
